method	pc	rep	rmsd	auc	lambda	type_1_err2	type_1_err4	type_1_err6	type_1_err8	power_calib2	power_calib4	power_calib6	power_calib8
pca-plink-pure	0	1	0.28656158745049243	0.00972567372926556	6.25050020096876	0.31556385976149753	0.14109298275868776	0.06241466542362903	0.02472417401316599	0.10752688172043012	0.05376344086021505	0	0
pca-plink-pure	1	1	0.25707198847417617	0.0424799249452676	4.929494360967968	0.23957994318159717	0.06574052583603573	0.01624549906707346	0.00372781625172289	0.13978494623655913	0.0967741935483871	0.01075268817204301	0.01075268817204301
pca-plink-pure	2	1	0.03612637363538486	0.14667729879149383	1.23082799104845	0.02039472063420851	5.484752259056648e-4	1.0373053917837631e-5	0	0.27956989247311825	0.1720430107526882	0.12903225806451613	0.12903225806451613
pca-plink-pure	3	1	0.03799827465951237	0.14649671224530186	1.2460471018530102	0.02111175798627904	5.705179654810699e-4	1.1669685657567335e-5	0	0.27956989247311825	0.1720430107526882	0.12903225806451613	0.12903225806451613
pca-plink-pure	4	1	0.03842114822226725	0.14790964789838051	1.2475045769564579	0.02128161674418363	5.912640733167451e-4	1.4262949137026743e-5	0	0.27956989247311825	0.1720430107526882	0.12903225806451613	0.12903225806451613
pca-plink-pure	5	1	0.038370374423429	0.15165086029630784	1.246710927780475	0.02136978770248525	6.094169176729609e-4	1.555958087675645e-5	0	0.27956989247311825	0.1720430107526882	0.12903225806451613	0.12903225806451613
pca-plink-pure	6	1	0.01226232489614443	0.1645667158447466	1.0733545675461873	0.01291445212770785	1.568924405072942e-4	0	0	0.2903225806451613	0.1720430107526882	0.15053763440860216	0.13978494623655913
pca-plink-pure	7	1	0.01371009016125945	0.1640922961214936	1.0827480485576455	0.01322953364046217	1.6467223094567243e-4	0	0	0.2903225806451613	0.1720430107526882	0.15053763440860216	0.13978494623655913
pca-plink-pure	8	1	0.01402305458907015	0.16560045795839357	1.085186487949065	0.01333067091616108	1.6856212616486155e-4	0	0	0.2903225806451613	0.1720430107526882	0.13978494623655913	0.13978494623655913
pca-plink-pure	9	1	0.01396478615480232	0.16228567387222617	1.083109223752456	0.01326843259265406	1.6596886268540213e-4	0	0	0.2903225806451613	0.1720430107526882	0.15053763440860216	0.15053763440860216
pca-plink-pure	10	1	0.01114053083457231	0.16948336309249967	1.0650037206906204	0.01258121777059731	1.4651938658945656e-4	0	0	0.2903225806451613	0.1720430107526882	0.15053763440860216	0.15053763440860216
pca-plink-pure	11	1	0.00889478349723115	0.16233992088488983	1.0506340204730735	0.012026259385993	1.3744296441134865e-4	0	0	0.3010752688172043	0.1720430107526882	0.15053763440860216	0.15053763440860216
pca-plink-pure	12	1	0.00332551525856443	0.16712719503333132	1.020810382282985	0.01071277143364681	9.984064395918722e-5	0	0	0.2903225806451613	0.1720430107526882	0.15053763440860216	0.15053763440860216
pca-plink-pure	13	1	0.00303662168773912	0.167580099237188	1.0166699885962005	0.01067776237667411	9.59507487399981e-5	0	0	0.27956989247311825	0.16129032258064516	0.16129032258064516	0.13978494623655913
pca-plink-pure	14	1	0.00330604420533471	0.16706883560032676	1.0178486638112894	0.01068943206233168	9.33574852605387e-5	0	0	0.26881720430107525	0.16129032258064516	0.16129032258064516	0.13978494623655913
pca-plink-pure	15	1	0.00357177814840271	0.16666440968885488	1.0196646899949882	0.01071925459234546	9.2060853520809e-5	0	0	0.26881720430107525	0.16129032258064516	0.16129032258064516	0.13978494623655913
pca-plink-pure	16	1	0.00375238897435185	0.16666349656368418	1.0211869619823957	0.01079834912846897	9.46541170002684e-5	0	0	0.26881720430107525	0.16129032258064516	0.16129032258064516	0.13978494623655913
pca-plink-pure	17	1	0.00410271848783354	0.16663291067046315	1.0231472912274893	0.01088392682329113	9.854401221945753e-5	0	0	0.26881720430107525	0.16129032258064516	0.16129032258064516	0.13978494623655913
pca-plink-pure	18	1	0.00412782859648053	0.16724878801612228	1.023016833162477	0.01086707061067465	9.46541170002684e-5	0	0	0.27956989247311825	0.1720430107526882	0.16129032258064516	0.13978494623655913
pca-plink-pure	19	1	0.00372323090775104	0.16698875203546965	1.021513887194671	0.01071147480190708	8.946759004134959e-5	0	0	0.2903225806451613	0.1720430107526882	0.15053763440860216	0.15053763440860216
pca-plink-pure	20	1	0.00360186645812353	0.16708405155807823	1.020445741657266	0.01072703438278384	9.72473804797278e-5	0	0	0.2903225806451613	0.1720430107526882	0.15053763440860216	0.15053763440860216
pca-plink-pure	21	1	0.00356171792394544	0.16719056637571902	1.019553484915216	0.01061811731664654	9.076422178107927e-5	0	0	0.2903225806451613	0.1720430107526882	0.13978494623655913	0.13978494623655913
pca-plink-pure	22	1	0.00350812854169239	0.16941228512070647	1.0189455630357538	0.01068294890363303	9.076422178107927e-5	0	0	0.3010752688172043	0.1720430107526882	0.15053763440860216	0.13978494623655913
pca-plink-pure	23	1	0.00358195291680582	0.16925102331244846	1.0197214789916922	0.01066998258623573	8.557769482216047e-5	0	0	0.3010752688172043	0.1720430107526882	0.15053763440860216	0.13978494623655913
pca-plink-pure	24	1	0.00365055923697648	0.16945870480270814	1.020175874313292	0.01069332195755087	8.817095830161988e-5	0	0	0.3010752688172043	0.1720430107526882	0.15053763440860216	0.13978494623655913
pca-plink-pure	25	1	0.0036894962049703	0.1695032692538352	1.0202019118669583	0.01071147480190708	8.687432656189018e-5	0	0	0.2903225806451613	0.1720430107526882	0.13978494623655913	0.13978494623655913
pca-plink-pure	26	1	0.00371519417274519	0.16945843621644585	1.0201664062325737	0.01071277143364681	8.687432656189018e-5	0	0	0.2903225806451613	0.1720430107526882	0.16129032258064516	0.13978494623655913
pca-plink-pure	27	1	0.0034851471323861	0.16777657743632624	1.019553484915216	0.01073481417322222	9.33574852605387e-5	0	0	0.3010752688172043	0.1720430107526882	0.15053763440860216	0.13978494623655913
pca-plink-pure	28	1	0.00353698593148052	0.16768047072125628	1.0196504931075168	0.01076334007149627	9.33574852605387e-5	0	0	0.2903225806451613	0.1720430107526882	0.15053763440860216	0.13978494623655913
pca-plink-pure	29	1	0.00349185761375342	0.1670946472878451	1.01985636213708	0.01080742555064708	9.33574852605387e-5	0	0	0.2903225806451613	0.1720430107526882	0.15053763440860216	0.13978494623655913
pca-plink-pure	30	1	0.00349636133284234	0.16819158822121094	1.0185790458049475	0.01078149291585249	9.2060853520809e-5	0	0	0.3010752688172043	0.1827956989247312	0.15053763440860216	0.15053763440860216
pca-plink-pure	31	1	0.00349563629880663	0.16770758707208588	1.019172615647439	0.01076334007149627	9.72473804797278e-5	0	0	0.3010752688172043	0.1827956989247312	0.15053763440860216	0.15053763440860216
pca-plink-pure	32	1	0.00303634781776959	0.1689368746316777	1.0178959261259577	0.0106116341579479	9.59507487399981e-5	0	0	0.3118279569892473	0.1827956989247312	0.15053763440860216	0.15053763440860216
pca-plink-pure	33	1	0.00304376572106451	0.16819001759526772	1.017678532770163	0.01067387248145492	9.59507487399981e-5	0	0	0.3118279569892473	0.1827956989247312	0.15053763440860216	0.15053763440860216
pca-plink-pure	34	1	0.00296985313939733	0.16667447330119736	1.018295356787611	0.01067387248145492	9.59507487399981e-5	0	0	0.3010752688172043	0.1827956989247312	0.15053763440860216	0.15053763440860216
pca-plink-pure	35	1	0.00297037589776011	0.16770077729043334	1.0186263329292802	0.01062849037056438	9.33574852605387e-5	0	0	0.2903225806451613	0.1827956989247312	0.15053763440860216	0.15053763440860216
