pop	superpop	fam	x	y	country	comment
Canary_Islander	Europe	Romance	-15.4	28.1	Spain	Laz14
Italian_South	Europe	Romance	15.5	39.4	Italy	Laz14+Laz16
Sicilian	Europe	Romance	13.77	37.59	Italy	Laz14
Romanian	Europe	Romance	22.950	45.776	Romania	Laz16
Spanish	Europe	Romance	-2.83	40.43	Spain	Laz14
Greek	Europe	Greek	23.17	39.84	Greece	Laz14
Italian_North	Europe	Romance	11.0	43.0	Italy	Laz14 (diff coords); HGDP Italian and Tuscan
French	Europe	Romance	2.0	46.0	France	Laz14+Laz16; HGDP
Sardinian	Europe	Romance	9.0	40.0	Italy	Laz14; HGDP
Spanish_North	Europe	Romance	-2.7	42.8	Spain	Laz14
Basque	Europe	Basque	-0.65	43.04	France	Laz14; HGDP
Orcadian	Europe	Celtic	-3.0	59.0	UK	Laz14; HGDP
English	Europe	Germanic	-2.09	50.75	UK	Laz14
Icelandic	Europe	Germanic	-21.93	64.13	Iceland	Laz14
Norwegian	Europe	Germanic	5.36	60.36	Norway	Laz14
Irish	Europe	Celtic	-8.265	52.753	Ireland	Laz16 NP
Irish_Ulster	Europe	Celtic	-6.95	54.71	Ireland	Laz16 NP
Scottish	Europe	Celtic	-3.94	56.04	UK	Laz14+Laz16 (P+NP)
Shetlandic	Europe	Germanic/Celtic	-1.15	60.15	UK	Laz16 NP
German	Europe	Germanic	12.373	51.34	Germany	Laz16 NP
Sorb	Europe	Slavic	14.102	51.275	Germany	Laz16 NP
Polish	Europe	Slavic	19.743	51.745	Poland	Laz16 NP
Czech	Europe	Slavic	14.4	50.1	Czechoslovia(pre1989)	Laz14
Croatian	Europe	Slavic	16.45	43.51	Croatia	Laz14
Hungarian	Europe	FinnoUgric	19.08	47.49	Hungary	Laz14
Albanian	Europe	Albanian	19.83	41.33	Albania	Laz14
Bulgarian	Europe	Slavic	24.74	42.16	Bulgaria	Laz14
Mordovian	Europe	FinnoUgric	45.18	54.18	Russia	Laz14
Saami_WGA	Europe	FinnoUgric	23.6	68.4	Finland	Laz14; Norway
Finnish	Europe	FinnoUgric	24.9	60.2	Finland	Laz14
Russian	Europe	Slavic	40.0	61.0	Russia	Laz14; HGDP
Estonian	Europe	FinnoUgric	24.89	58.54	Estonia	Laz14
Ukrainian	Europe	Slavic	31.56	50.29	Ukraine	Laz14
Belarusian	Europe	Slavic	28.01	53.92	Belarus	Laz14
Lithuanian	Europe	Baltic	23.92	54.9	Lithuania	Laz14
#
# Caucasus
#
Armenian	Caucasus	Armenian	44.55	40.19	Armenia	Laz14
Jew_Georgian	Caucasus	Afroasiatic	44.78	41.72	Georgia	Laz14
Georgian	Caucasus	Kartvelian	41.85	42.5	Georgia	Laz14
Abkhasian	Caucasus	NWCaucasian	41.0	43.0	Georgia	Laz14
Adygei	Caucasus	NWCaucasian	39.0	44.0	Russia	Laz14; HGDP
North_Ossetian	Caucasus	Iranian	44.65	43.02	Russia	Laz14
Chechen	Caucasus	NECaucasian	45.65	43.33	Russia	Laz14
Lezgin	Caucasus	NECaucasian	48.18	42.12	Russia	Laz14; Dagestan, Russia and Azerbaijan
Kumyk	Caucasus	Turkic	46.58	43.25	Russia	Laz14; Dagestan
Balkar	Caucasus	Turkic	43.62	43.48	Russia	Laz14
Nogai	Caucasus	Turkic	41.9	44.4	Russia	Laz14; Dagestan
#
# SAsia
#
Makrani	SAsia	Iranian	64.0	26.0	Pakistan	Laz14; HGDP
Brahui	SAsia	Dravidian	66.5	30.5	Pakistan	Laz14; HGDP
Balochi	SAsia	Iranian	66.5	30.5	Pakistan	Laz14; HGDP
Jew_Cochin	SAsia	Afroasiatic	76.3	10.0	India	Laz14; Kerala
Tajik	SAsia	Iranian	71.7	37.4	Tajikistan	Laz14 (Tajik_Pomiri); Persians in Tajikistan, Afghanistan and Uzbekistan
Kalash	SAsia	IndoAryan	71.5	36.0	Pakistan	Laz14; HGDP
Pathan	SAsia	Iranian	70.5	33.5	Pakistan	Laz14; HGDP
Sindhi	SAsia	IndoAryan	69.0	25.5	Pakistan	Laz14; HGDP
Burusho	SAsia	Burushaski	74.0	36.5	Pakistan	Laz14; HGDP
Brahmin_Tiwari	SAsia	IndoAryan	83.4	21.9	India	Laz14 NP
Gujarati	SAsia	IndoAryan	72.7	23.2	India	Laz14; I merged A-D (no apparent kinship diff)
Punjabi	SAsia	IndoAryan	74.3	31.5	Pakistan	Laz14
Vishwabrahmin	SAsia	IndoAryan	80.5	16.3	India	Laz14 NP
Lodhi	SAsia	Austroasiatic	78.6	25.5	India	Laz14 NP
Mala	SAsia	Dravidian	78.2	18.7	India	Laz14 NP
Bengali	SAsia	IndoAryan	90.4	23.7	Bangladesh	Laz14
Kharia	SAsia	Austroasiatic	82.7	25.8	India	Laz14 NP
Onge	SAsia	Ongan	92.5	10.8	India	Laz14 NP
Chuvash	SAsia	Turkic	47.3	56.1	Russia	Laz14; Chuvashia
Turkmen	SAsia	Turkic	59.6	42.5	Uzbekistan	Laz14
Uzbek	SAsia	Turkic	69.2	41.3	Uzbekistan	Laz14
Hazara	SAsia	Iranian	70.0	33.5	Pakistan	Laz14; HGDP
Uygur	SAsia	Turkic	81	44	China	Laz14; HGDP
#
# NAsia
#
Tubalar	NAsia	Turkic	87.0	51.1	Russia	Laz14
Mansi	NAsia	FinnoUgric	63.3	62.5	Russia	Laz14; Tyumen Oblast, Russia
Selkup	NAsia	Samoyedic	82.3	65.5	Russia	Laz14
Kyrgyz	NAsia	Turkic	74.6	42.9	Kyrgyzstan	Laz14
Altaian	NAsia	Turkic	86.0	51.9	Russia	Laz14
Tuvinian	NAsia	Turkic	95.2	50.3	Russia	Laz14
Nganasan	NAsia	Samoyedic	96.1	71.1	Russia	Laz14
Dolgan	NAsia	Turkic	115.4	73.0	Russia	Laz14
Yakut	NAsia	Turkic	129.5	63	Russia	Laz14; HGDP
Xibo	NAsia	Tungusic	81.5	43.5	China	Laz14; HGDP
Hezhen	NAsia	Tungusic	133.5	47.5	China	Laz14; HGDP
Oroqen	NAsia	Tungusic	126.5	50.4	China	Laz14; HGDP
Ulchi	NAsia	Tungusic	140.4	52.2	Russia	Laz14
Even	NAsia	Tungusic	135.9	57.5	Russia	Laz14
Yukagir	NAsia	Yukaghir	152.0	67.05	Russia	Laz14
Itelmen	NAsia	ChukotkoKamchatkan	156.9	57.2	Russia	Laz14
Koryak	NAsia	ChukotkoKamchatkan	159.0	58.1	Russia	Laz14
Chukchi	NAsia	ChukotkoKamchatkan	171.35	66.95	Russia	Laz14; Chukchi Peninsula, Russia
Eskimo	NAsia	EskimoAleut	172.17	64.97	Russia	Laz14
Aleut	NAsia	EskimoAleut	160.8	53.6	Russia	Laz14
Aleut_Tlingit	NAsia	EskimoAleut	164.5	54.7	Russia	Laz14 (Tlingit)
#
# EAsia
#
Kusunda	EAsia	Kusunda	82.5	28.1	Nepal	Laz14
Kalmyk	EAsia	Mongolic	45.3	46.2	Russia	Laz14
Burmese	EAsia	SinoTibetan	95.89	16.41	Myanmar	Sko16
Cambodian	EAsia	Austroasiatic	105	12	Cambodia	Laz14; HGDP
Thai	EAsia	TaiKadai	100.5	13.8	Thailand	Laz14
Tu	EAsia	Mongolic	101	36	China	Laz14; HGDP
Mongola	EAsia	Mongolic	111.0	45.0	China	Laz14; HGDP (diff coords)
Daur	EAsia	Mongolic	124	48.5	China	Laz14; HGDP
Kinh	EAsia	Austroasiatic	105.9	21.0	Vietnam	Laz14
Vietnamese	EAsia	Austroasiatic	106.64	10.82	Vietnam	Sko16
Dai	EAsia	TaiKadai	100	21	China	Laz14; HGDP
Lahu	EAsia	SinoTibetan	100	22	China	Laz14; HGDP
Naxi	EAsia	SinoTibetan	100	26	China	Laz14; HGDP
Yi	EAsia	SinoTibetan	103	28	China	Laz14; HGDP
Tujia	EAsia	SinoTibetan	109	29	China	Laz14; HGDP
Han	EAsia	SinoTibetan	114	32.3	China	Laz14; HGDP Han and Han-NChina (diff y)
